Cities,District,Area (km2),Population 2020,Average Housing Price (1M IDR)
Jakarta Selatan,Cilandak,17.767,203573,22.4 /m2
Jakarta Selatan,Jagakarsa,25.459,413252,12.1 /m2
Jakarta Selatan,Kebayoran Baru,12.847,144140,62.5 /m2
Jakarta Selatan,Kebayoran Lama,19.503,309463,26 /m2
Jakarta Selatan,Mampang Prapatan,7.978,147909,22.1 /m2
Jakarta Selatan,Pancoran,8.958,156391,24.1 /m2
Jakarta Selatan,Pasar Minggu,21.921,310619,18 /m2
Jakarta Selatan,Pesanggrahan,13.571,223946,15.9 /m2
Jakarta Selatan,Setiabudi,9.027,143506,34.5 /m2
Jakarta Selatan,Tebet,9.463,211900,23.8 /m2
Jakarta Timur,Cakung,40.906,537756,13.5 /m2
Jakarta Timur,Cipayung,28.892,300345,12.3 /m2
Jakarta Timur,Ciracas,16.748,282360,12.5 /m2
Jakarta Timur,Duren Sawit,22.282,399595,13.3 /m2
Jakarta Timur,Jatinegara,10.453,275903,16 /m2
Jakarta Timur,Kramat Jati,13.195,298121,12.7 /m2
Jakarta Timur,Makasar,21.533,204595,13.1 /m2
Jakarta Timur,Matraman,4.892,151827,13.1 /m2
Jakarta Timur,Pasar Rebo,12.791,221158,12.2 /m2
Jakarta Timur,Pulo Gadung,15.147,266199,16.6 /m2
Jakarta Utara,Cilincing,41.929,425358,19.9 /m2
Jakarta Utara,Kelapa Gading,16.159,158931,20 /m2
Jakarta Utara,Koja,11.452,316704,19.9 /m2
Jakarta Utara,Pademangan,13.284,166762,19.9 /m2
Jakarta Utara,Penjaringan,35.933,351117,19.9 /m2
Jakarta Utara,Tanjung Priok,22.967,394043,19.9 /m2
Jakarta Pusat,Cempaka Putih,4.767,85667,20 /m2
Jakarta Pusat,Gambir,7.586,78534,26.5 /m2
Jakarta Pusat,Johar Baru,2.412,119994,26.5 /m2
Jakarta Pusat,Kemayoran,7.253,229175,19.3 /m2
Jakarta Pusat,Menteng,6.529,68415,86.6 /m2
Jakarta Pusat,Sawah Besar,5.464,100958,26.5 /m2
Jakarta Pusat,Senen,4.407,97578,26.5 /m2
Jakarta Pusat,Tanah Abang,10.21,147788,26.5 /m2
Jakarta Barat,Cengkareng,26.01,601156,16.1 /m2
Jakarta Barat,Grogol Petamburan,10.858,241564,16.1 /m2
Jakarta Barat,Kalideres,30.074,471436,14.3 /m2
Jakarta Barat,Kebon Jeruk,17.788,383168,20 /m2
Jakarta Barat,Kembangan,25.365,334115,22.1 /m2
Jakarta Barat,Palmerah,7.457,206353,16.1 /m2
Jakarta Barat,Taman Sari,4.558,110252,16.1 /m2
Jakarta Barat,Tambora,5.494,241889,16.1 /m2
